nombre,codigo,descripcion,tipo_unidad,tipo
BUSHING REDUCTOR DE 1· X 3/4,H0028,BUSHING REDUCTOR DE 1· X 3/4,UND,Inventario
"BUSHING REDUCTOR DE 1""X1/2 ",H0029,"BUSHING REDUCTOR DE 1""X1/2 ",UND,Inventario
BUSHING REDUCTOR DE 3/4 X 1/2,H0030,BUSHING REDUCTOR DE 3/4 X 1/2,UND,Inventario
WYPE DE COLORES FUNDA GRANDE,H0031,WYPE DE COLORES FUNDA GRANDE,UND,Inventario
WYPE DE COLORES FUNDA PEQUEÑA,H0032,WYPE DE COLORES FUNDA PEQUEÑA,UND,Inventario
CODO CACHIMBA ROSCABLE 3/4 PLASTIGAMA,H0033,CODO CACHIMBA ROSCABLE 3/4 PLASTIGAMA,UND,Inventario
NUDO UNIVERSAL 3/4PLASTIGAMA,H0034,NUDO UNIVERSAL 3/4PLASTIGAMA,UND,Inventario
"REDUCTOR ROSCABLE DE 1"" X 3/4 PLASTIGAMA",H0035,"REDUCTOR ROSCABLE DE 1"" X 3/4 PLASTIGAMA",UND,Inventario
REDUCTOR ROSCABLE DE 3/4 X 1/2 PLASTIGAMA,H0036,REDUCTOR ROSCABLE DE 3/4 X 1/2 PLASTIGAMA,UND,Inventario
REDUCTOR BUJE ROSCABLE DE 1 1/2 X 1 PLASTIGAMA,H0037,REDUCTOR BUJE ROSCABLE DE 1 1/2 X 1 PLASTIGAMA,UND,Inventario
TAPON ROSCABLE DE 1/2 PLASTIGAMA,H0038,TAPON ROSCABLE DE 1/2 PLASTIGAMA,UND,Inventario
TAPON ROSCABLE DE 3/4 PLASTIGAMA,H0039,TAPON ROSCABLE DE 3/4 PLASTIGAMA,UND,Inventario
"UNION ROSCABLE 1"" PLASTIGAMA",H0040,"UNION ROSCABLE 1"" PLASTIGAMA",UND,Inventario
UNION ROSCABLE DE 1/2 PLASTIGAMA,H0041,UNION ROSCABLE DE 1/2 PLASTIGAMA,UND,Inventario
TEE 16 DE RIEGO,H0042,TEE 16 DE RIEGO,UND,Inventario
"CODO LASCO DE 1"" X 45",H0043,"CODO LASCO DE 1"" X 45",UND,Inventario
"CODO LASCO DE 1"" X 90",H0044,"CODO LASCO DE 1"" X 90",UND,Inventario
CODO LASCO DE 3/4 X 90,H0045,CODO LASCO DE 3/4 X 90,UND,Inventario
CODO LASCO PEGABLE 1/2,H0046,CODO LASCO PEGABLE 1/2,UND,Inventario
"CODO LASCO 1"" X 1/4",H0047,"CODO LASCO 1"" X 1/4",UND,Inventario
TEE LASCO DE 1 1/2,H0048,TEE LASCO DE 1 1/2,UND,Inventario
"ADAPTADOR M LASCO 1""",H0049,"ADAPTADOR M LASCO 1""",UND,Inventario
"BUJE LASCO PEGABLE Y ROSCABLE 2"" X 1""",H0050,"BUJE LASCO PEGABLE Y ROSCABLE 2"" X 1""",UND,Inventario
"BUJE LASCO ROSCABLE DE 1"" 1/2 X 3/4""",H0051,"BUJE LASCO ROSCABLE DE 1"" 1/2 X 3/4""",UND,Inventario
ADAPTADOR HEMBRA LASCO DE 1 1/4,H0052,ADAPTADOR HEMBRA LASCO DE 1 1/4,UND,Inventario
CODO TF 32 X 90,H0053,CODO TF 32 X 90,UND,Inventario
ADAPTADOR PARA TANQUE 3/4 PLASTIGAMA,H0054,ADAPTADOR PARA TANQUE 3/4 PLASTIGAMA,UND,Inventario
VARILLA ROSCADA DE 3/8X3MTS A CERO GALVANIZADO,H0055,VARILLA ROSCADA DE 3/8X3MTS A CERO GALVANIZADO,UND,Inventario
"BUJE REDUCTOR DE 1"" A 3/4 PLASTIGAMA",H0056,"BUJE REDUCTOR DE 1"" A 3/4 PLASTIGAMA",UND,Inventario
"BUJE REDUCTOR DE 1/2 A 1""PLASTIGAMA",H0057,"BUJE REDUCTOR DE 1/2 A 1""PLASTIGAMA",UND,Inventario
CINTA AISLANTE,H0058,CINTA AISLANTE,UND,Inventario
"CODO A/I ROSCABLE 90X1""",H0059,"CODO A/I ROSCABLE 90X1""",UND,Inventario
"TEE A/I ROSC 1""",H0060,"TEE A/I ROSC 1""",UND,Inventario
BOQUILLA TF 63 MM TIGRE,H0061,BOQUILLA TF 63 MM TIGRE,UND,Inventario
"NEPLO ACERO INOXIDABLE 1"" X 5""",H0062,"NEPLO ACERO INOXIDABLE 1"" X 5""",UND,Inventario
"NEPLO ACERO INOXIDABLE 1"" X 8""",H0063,"NEPLO ACERO INOXIDABLE 1"" X 8""",UND,Inventario
"NUDO ACERO INOXIDABLE DE 1/2""",H0064,"NUDO ACERO INOXIDABLE DE 1/2""",UND,Inventario
"NEPLO ACERO INOXIDABLE DE 1/2"" X 3·",H0065,"NEPLO ACERO INOXIDABLE DE 1/2"" X 3·",UND,Inventario
"CODO H/M 150 UL/FM 90X1""",H0066,"CODO H/M 150 UL/FM 90X1""",UND,Inventario
TUBO TF PP3 PN 63 MM X 6M TIGRE,H0067,TUBO TF PP3 PN 63 MM X 6M TIGRE,UND,Inventario
TEE TF RED CENT 63X20MM SO,H0068,TEE TF RED CENT 63X20MM SO,UND,Inventario
CODO TF 45 ANGULO 63 MM TGR,H0069,CODO TF 45 ANGULO 63 MM TGR,UND,Inventario
BUJE TF 63X50MM TGR,H0070,BUJE TF 63X50MM TGR,UND,Inventario
BUJE TF 50X32MM TGR,H0071,BUJE TF 50X32MM TGR,UND,Inventario
PEGATANQUE NEGRO,H0072,PEGATANQUE NEGRO,UND,Inventario
ACOPLE MACHO PARA MANGUERA,H0073,ACOPLE MACHO PARA MANGUERA,UND,Inventario
CONECTOR RAPID HEMBRA PARA MANGUERA DE RIEGO,H0074,CONECTOR RAPID HEMBRA PARA MANGUERA DE RIEGO,UND,Inventario
"BUJE TF 32X25"" TIGRE",H0075,"BUJE TF 32X25"" TIGRE",UND,Inventario
CODO DENTADO FLEX 16 MM,H0076,CODO DENTADO FLEX 16 MM,UND,Inventario
"ADAPTADOR COMP 16 X 1/2""",H0077,"ADAPTADOR COMP 16 X 1/2""",UND,Inventario
"TEE PVC CED 40 E/C 1/2"" PEGA/ROSC TGR",H0078,"TEE PVC CED 40 E/C 1/2"" PEGA/ROSC TGR",UND,Inventario
UNION DENTADA FLEX 16 MM,H0079,UNION DENTADA FLEX 16 MM,UND,Inventario
MANGUERA ARIES CON AGUJERO,H0080,MANGUERA ARIES CON AGUJERO,UND,Inventario
MANGUERA CIEGA 16 MM PARA RIEGO COLORNEGRO,H0081,MANGUERA CIEGA 16 MM PARA RIEGO COLORNEGRO,UND,Inventario
ADAPTADOR DE 16 MM,H0082,ADAPTADOR DE 16 MM,UND,Inventario
"NEPLO PP ROSCABLE DE 1-2""",H0083,"NEPLO PP ROSCABLE DE 1-2""",UND,Inventario
VALVULA RES PRES MINIPRESS ITAP 36 1 1/2C 15/1,H0084,VALVULA RES PRES MINIPRESS ITAP 36 1 1/2C 15/1,UND,Inventario
"BUSHING HN ULFM 1""X1/2""",H0085,"BUSHING HN ULFM 1""X1/2""",UND,Inventario
TAPON PVC MACHO ROSCABLE 1/2 TGR,H0086,TAPON PVC MACHO ROSCABLE 1/2 TGR,UND,Inventario
CURVA TF ANGULO 90 20 MM TIGRE,H0087,CURVA TF ANGULO 90 20 MM TIGRE,UND,Inventario
BOMBA EVANS BRAC 120W RECIRCULACION AUTOMATICA AC,H0088,BOMBA EVANS BRAC 120W RECIRCULACION AUTOMATICA AC,UND,Inventario
CODO TF 45 MH 20 MM TGR,H0089,CODO TF 45 MH 20 MM TGR,UND,Inventario
TEE TF 32 MM TIGRE,H0090,TEE TF 32 MM TIGRE,UND,Inventario
"ADAPTADOR TF M 32 MM X 1"" TIGRE",H0091,"ADAPTADOR TF M 32 MM X 1"" TIGRE",UND,Inventario
"VALVULA CHEQUE YORK 103 BR 1""",H0092,"VALVULA CHEQUE YORK 103 BR 1""",UND,Inventario
NEPLO INOX 1 C/CINTURA,H0093,NEPLO INOX 1 C/CINTURA,UND,Inventario
BUSHING INOX DE 1/2X1/4,H0094,BUSHING INOX DE 1/2X1/4,UND,Inventario
MANOMETRO 1/4 VERT 1/4 0-150 GENEBRE +++,H0095,MANOMETRO 1/4 VERT 1/4 0-150 GENEBRE +++,UND,Inventario
NEPLO INOX 1/2  C/CINT,H0096,NEPLO INOX 1/2  C/CINT,UND,Inventario
TUBO CORRUGADO 160 MM SERIE 6 TIGRE,H0097,TUBO CORRUGADO 160 MM SERIE 6 TIGRE,UND,Inventario
PRESOSTATO BOMBA 70-100  GENEBRE ,H0098,PRESOSTATO BOMBA 70-100  GENEBRE ,UND,Inventario
"TEE H-N 150 UL/FM 1 1/2""",H0099,"TEE H-N 150 UL/FM 1 1/2""",UND,Inventario
"TUBO A/C CED 40 S/C P/S 4"" X 6 M",H0100,"TUBO A/C CED 40 S/C P/S 4"" X 6 M",UND,Inventario
"NEPLO AC C-40 1 1-4"" X 8""",H0101,"NEPLO AC C-40 1 1-4"" X 8""",UND,Inventario
"TEE A/C P/S C/40 1 1/4""",H0102,"TEE A/C P/S C/40 1 1/4""",UND,Inventario
"NEPLO A/C C-40 1""X4""",H0103,"NEPLO A/C C-40 1""X4""",UND,Inventario
TEE PEGABLE 25 MM TIGRE GRIS,H0104,TEE PEGABLE 25 MM TIGRE GRIS,UND,Inventario
 TEE PEGABLE 50 MM TIGRE ,H0105, TEE PEGABLE 50 MM TIGRE ,UND,Inventario
"ADAPTADOR TF M 25 MM X 3/4""",H0106,"ADAPTADOR TF M 25 MM X 3/4""",UND,Inventario
"ADAPTADOR PVC M CED 40 PEGROSCA / TIGRE 1/2""",H0107,"ADAPTADOR PVC M CED 40 PEGROSCA / TIGRE 1/2""",UND,Inventario
"TEE TF C/ROSC M 25X1/2"" TIGRE",H0108,"TEE TF C/ROSC M 25X1/2"" TIGRE",UND,Inventario
TEE TF RED CENT 50X20MM SO,H0109,TEE TF RED CENT 50X20MM SO,UND,Inventario
TEE TF RED CENT 32X20X32 MM TIGRE,H0110,TEE TF RED CENT 32X20X32 MM TIGRE,UND,Inventario
CODO DE PEGABLE 90X32 MM TIGRE GRIS,H0111,CODO DE PEGABLE 90X32 MM TIGRE GRIS,UND,Inventario
CODO DE PEGABLE 90X25 MM TIGRE GRIS,H0112,CODO DE PEGABLE 90X25 MM TIGRE GRIS,UND,Inventario
CODO 90 PEGABLE 40 MM TIGRE,H0113,CODO 90 PEGABLE 40 MM TIGRE,UND,Inventario
CODO TF 90 63 MM TIGRE ,H0114,CODO TF 90 63 MM TIGRE ,UND,Inventario
CODO TF 90 50 MM TIGRE,H0115,CODO TF 90 50 MM TIGRE,UND,Inventario
CODO 45 PEGABLE 63 MM,H0116,CODO 45 PEGABLE 63 MM,UND,Inventario
UNIVERSAL PEGABLE DIAM 32 MM T1,H0117,UNIVERSAL PEGABLE DIAM 32 MM T1,UND,Inventario
UNIVERSAL PVC ROSCABLE 1 1/2 TIGRE,H0118,UNIVERSAL PVC ROSCABLE 1 1/2 TIGRE,UND,Inventario
UNION TF 90 MM TIGRE,H0119,UNION TF 90 MM TIGRE,UND,Inventario
UNION TF 50 MM TIGRE,H0120,UNION TF 50 MM TIGRE,UND,Inventario
UNION TF 63 MM TIGRE,H0121,UNION TF 63 MM TIGRE,UND,Inventario
"UNION PVC ROSCABLE 1"" TIGRE",H0122,"UNION PVC ROSCABLE 1"" TIGRE",UND,Inventario
ADAPTADOR TF H 90X30MM,H0123,ADAPTADOR TF H 90X30MM,UND,Inventario
ADAPTADOR TF H 50X1 1/2 TIGRE,H0124,ADAPTADOR TF H 50X1 1/2 TIGRE,UND,Inventario
ADAPTADOR TF M 20MMX3,H0125,ADAPTADOR TF M 20MMX3,UND,Inventario
ADAPTADOR TF M 25MMX3,H0126,ADAPTADOR TF M 25MMX3,UND,Inventario
BUJE TF 32X20 MM TIGRE,H0127,BUJE TF 32X20 MM TIGRE,UND,Inventario
PRESOSTATO PP5 PENTAX,H0128,PRESOSTATO PP5 PENTAX,UND,Inventario
"NUDO ACERO INOXIDABLE ROSCABLE DE 1 1/2""",H0129,"NUDO ACERO INOXIDABLE ROSCABLE DE 1 1/2""",UND,Inventario
"TUBO A/C CED 40 S/C P/S 1 "" X 6 M",H0130,"TUBO A/C CED 40 S/C P/S 1 "" X 6 M",UND,Inventario
"NEPLO ACERO INOXIDABLE CED 40 DE 1/2"" X 4""·",H0131,"NEPLO ACERO INOXIDABLE CED 40 DE 1/2"" X 4""·",UND,Inventario
"NEPLO ACERO INOXIDABLE CED 40 DE 1  1/2"" X 4""·",H0132,"NEPLO ACERO INOXIDABLE CED 40 DE 1  1/2"" X 4""·",UND,Inventario
"ADAPTADOR PVC M PRESION 32X1""",H0133,"ADAPTADOR PVC M PRESION 32X1""",UND,Inventario
"ADAPTADOR PVC M 63 X 2 """"",H0134,"ADAPTADOR PVC M 63 X 2 """"",UND,Inventario
"ADAPTADOR PVC H 50X1 1/2 """"",H0135,"ADAPTADOR PVC H 50X1 1/2 """"",UND,Inventario
"ADAPTADOR PVC M 25X3-4"" ",H0136,"ADAPTADOR PVC M 25X3-4"" ",UND,Inventario
"ADAPTADOR PVC M 20X1/2"" ",H0137,"ADAPTADOR PVC M 20X1/2"" ",UND,Inventario
"BUJE PVC CORTO 50X32"" PLASTIGAMA",H0138,"BUJE PVC CORTO 50X32"" PLASTIGAMA",UND,Inventario
"BUJE PVC CORTO 40X32"" PLASTIGAMA",H0139,"BUJE PVC CORTO 40X32"" PLASTIGAMA",UND,Inventario
"BUJE PVC ROSCABLE 1 1/2 X 3/4""",H0140,"BUJE PVC ROSCABLE 1 1/2 X 3/4""",UND,Inventario
"ADAPTADOR PVC H 1X32""",H0141,"ADAPTADOR PVC H 1X32""",UND,Inventario
"BUJE PVC 32X20"" TIGRE",H0142,"BUJE PVC 32X20"" TIGRE",UND,Inventario
"NEPLO ROSCABLE 1"" TIGRE",H0143,"NEPLO ROSCABLE 1"" TIGRE",UND,Inventario
"UNIVERSAL PVC 1""",H0144,"UNIVERSAL PVC 1""",UND,Inventario
"UNION ROSCABLE 1"" TIGRE",H0145,"UNION ROSCABLE 1"" TIGRE",UND,Inventario
CODO 45X50MM  PLASTIGAMA,H0146,CODO 45X50MM  PLASTIGAMA,UND,Inventario
TEE PVC PRESION 20 MM PLASTIGAMA,H0147,TEE PVC PRESION 20 MM PLASTIGAMA,UND,Inventario
"TEE PVC 1 1/4"" TIGRE",H0148,"TEE PVC 1 1/4"" TIGRE",UND,Inventario
UNION PRESION 63 MM TIGRE,H0149,UNION PRESION 63 MM TIGRE,UND,Inventario
UNION PRESION 50 MM TIGRE,H0150,UNION PRESION 50 MM TIGRE,UND,Inventario
UNION PRESION 32 MM TIGRE,H0151,UNION PRESION 32 MM TIGRE,UND,Inventario
UNION PRESION 40 MM TIGRE,H0152,UNION PRESION 40 MM TIGRE,UND,Inventario
UNIVERSAL PVC 1/2 TIGRE,H0153,UNIVERSAL PVC 1/2 TIGRE,UND,Inventario
UNION 20 MM  TIGRE,H0154,UNION 20 MM  TIGRE,UND,Inventario
"TEE TF C ROSCABLE H 20 X 1/2""",H0155,"TEE TF C ROSCABLE H 20 X 1/2""",UND,Inventario
LIJA UNION 100,H0156,LIJA UNION 100,UND,Inventario
"DISCO CORT/MT DW 4 1/2""",H0157,"DISCO CORT/MT DW 4 1/2""",UND,Inventario
PINTURA PROFESIONAL BL,H0158,PINTURA PROFESIONAL BL,UND,Inventario
DISOLVENTE PARA PINTURAS,H0159,DISOLVENTE PARA PINTURAS,UND,Inventario
ELECTRODO INDURA 230-S,H0160,ELECTRODO INDURA 230-S,UND,Inventario
TUBO DE ABASTO 1/2X1/2X40,H0161,TUBO DE ABASTO 1/2X1/2X40,UND,Inventario
MANOMETRO DE AIRE 0-145 PSI 1/4 63 MM,H0162,MANOMETRO DE AIRE 0-145 PSI 1/4 63 MM,UND,Inventario
"VALVULA COMP 127 BR PN 1/2"" ITA",H0163,"VALVULA COMP 127 BR PN 1/2"" ITA",UND,Inventario
"TEE PVC CED 40 E/C 1/2"" PEGABLE TGR",H0164,"TEE PVC CED 40 E/C 1/2"" PEGABLE TGR",UND,Inventario
DISCO INGRO MCD,H0165,DISCO INGRO MCD,UND,Inventario
"UNION H/N REDUCT RECOMB UL/FM 2"" X 1 1/2""",H0166,"UNION H/N REDUCT RECOMB UL/FM 2"" X 1 1/2""",UND,Inventario
"TEE H/N RANUR.RECOMB ULK/FM2""",H0167,"TEE H/N RANUR.RECOMB ULK/FM2""",UND,Inventario
"REDUCCION  H/N RANUR.RECOMB UL/FM2""X1""",H0168,"REDUCCION  H/N RANUR.RECOMB UL/FM2""X1""",UND,Inventario
"CODO  H/N RANUR. UL/FM90X2""",H0169,"CODO  H/N RANUR. UL/FM90X2""",UND,Inventario
"UNION  H/N RANUR. FLEXIBLE UL/FM 2""",H0170,"UNION  H/N RANUR. FLEXIBLE UL/FM 2""",UND,Inventario
"TUBO A/C  CED40 S/C P/S 1 1/2"" X 6 MT",H0171,"TUBO A/C  CED40 S/C P/S 1 1/2"" X 6 MT",UND,Inventario
"CODO H/N RANUR.UL/FM 45X 1 1/2""",H0172,"CODO H/N RANUR.UL/FM 45X 1 1/2""",UND,Inventario
"COLGADOR A/G PERA UL/FM N0.69 1""",H0173,"COLGADOR A/G PERA UL/FM N0.69 1""",UND,Inventario
"REDUCCION  H/G CIFUNSA UL/FM 1"" X 1/2""",H0174,"REDUCCION  H/G CIFUNSA UL/FM 1"" X 1/2""",UND,Inventario
"REDUCCION  A/F ROSC 3000 1 1/2""X 1""",H0175,"REDUCCION  A/F ROSC 3000 1 1/2""X 1""",UND,Inventario
GABINETE H/N SCI 70X22 EMPOTRABLE,H0176,GABINETE H/N SCI 70X22 EMPOTRABLE,UND,Inventario
"VALVULA DE 1/2"" MACHO AMARILLA",H0177,"VALVULA DE 1/2"" MACHO AMARILLA",UND,Inventario
NEPLO PP ROSCABLE 1/2X150MM POL,H0178,NEPLO PP ROSCABLE 1/2X150MM POL,UND,Inventario
PEGA WELD-0N 602 1/32 TGR,H0179,PEGA WELD-0N 602 1/32 TGR,UND,Inventario
"UNION TF  32"" TIGRE",H0180,"UNION TF  32"" TIGRE",UND,Inventario
PINTURA TAN ROJO FIESTA LITRO,H0181,PINTURA TAN ROJO FIESTA LITRO,UND,Inventario
PINTURA TAN BLANCO MATE,H0182,PINTURA TAN BLANCO MATE,UND,Inventario
"BROCHA FUTURA 2""",H0183,"BROCHA FUTURA 2""",UND,Inventario
"CEPILLO A/AC.MANGO 5X15X1""",H0184,"CEPILLO A/AC.MANGO 5X15X1""",UND,Inventario
BUJE TF 32X20MM,H0185,BUJE TF 32X20MM,UND,Inventario
UNIVERSAL TF 20X1/2,H0186,UNIVERSAL TF 20X1/2,UND,Inventario
TAPON TF H 20 MM ROSCADO,H0187,TAPON TF H 20 MM ROSCADO,UND,Inventario
CODO ADAPTADORN 90 H 25X1/2,H0188,CODO ADAPTADORN 90 H 25X1/2,UND,Inventario
"ADAPTADOR TF M 32X3/4""",H0189,"ADAPTADOR TF M 32X3/4""",UND,Inventario
"TAPON HEMBRA DE 1/2""",H0190,"TAPON HEMBRA DE 1/2""",UND,Inventario
"UNION PVC 2""",H0191,"UNION PVC 2""",UND,Inventario
"UNION PVC 1 1/4""",H0192,"UNION PVC 1 1/4""",UND,Inventario
UNION PVC LASCO ROSCABLE H 1 1/2,H0193,UNION PVC LASCO ROSCABLE H 1 1/2,UND,Inventario
"UNION PVC LASCO ROSCABLE M 1 1/4""",H0194,"UNION PVC LASCO ROSCABLE M 1 1/4""",UND,Inventario
"UNION PVC TIGRE 1""",H0195,"UNION PVC TIGRE 1""",UND,Inventario
REDUCTOR TIGRE 63X32 PRESION,H0196,REDUCTOR TIGRE 63X32 PRESION,UND,Inventario
"UNION PVC ROSCA 25X3/4""",H0197,"UNION PVC ROSCA 25X3/4""",UND,Inventario
"UNION PVC ROSCA H 20X1/2""",H0198,"UNION PVC ROSCA H 20X1/2""",UND,Inventario
"CODO A/C CED40 X 1 1/4""",H0199,"CODO A/C CED40 X 1 1/4""",UND,Inventario
"UNION PVC CED 40 1/2"" TIGRE",H0200,"UNION PVC CED 40 1/2"" TIGRE",UND,Inventario
"TUBO A/C CED 40 S/C P/S 2""X6 METROS",H0201,"TUBO A/C CED 40 S/C P/S 2""X6 METROS",UND,Inventario
"TEE MECANICA ROSC. RECOMB UL/FM 2""X1 1/4""",H0202,"TEE MECANICA ROSC. RECOMB UL/FM 2""X1 1/4""",UND,Inventario
"BUSHING H/N ULF 1 1/4 X 1""",H0203,"BUSHING H/N ULF 1 1/4 X 1""",UND,Inventario
"NEPLO A/C C/80 1/2""X5""",H0204,"NEPLO A/C C/80 1/2""X5""",UND,Inventario
"NEPLO A/C C/40 1/2""X8""",H0205,"NEPLO A/C C/40 1/2""X8""",UND,Inventario
"UNION H/N UL/FM 1/2""",H0206,"UNION H/N UL/FM 1/2""",UND,Inventario
"UNION HN RANUR FLEXIBLE 2""",H0207,"UNION HN RANUR FLEXIBLE 2""",UND,Inventario
"CODO PVC 90 CED 40 PEG/ROSC 1/2"" TIGRE",H0208,"CODO PVC 90 CED 40 PEG/ROSC 1/2"" TIGRE",UND,Inventario
"TAPON PVC H CED 40 E/C 1/2"" LASCO",H0209,"TAPON PVC H CED 40 E/C 1/2"" LASCO",UND,Inventario
CEPILLO ALEMAN DE ACERO,H0210,CEPILLO ALEMAN DE ACERO,UND,Inventario
"BROCHA 2""",H0211,"BROCHA 2""",UND,Inventario
"BROCHA 3""",H0212,"BROCHA 3""",UND,Inventario
GUANTE CORRUGADO DE LATEX TALLA M,H0213,GUANTE CORRUGADO DE LATEX TALLA M,UND,Inventario
"DISCO DE CORTE METALICO INDUSTRIAL 4 1/2""",H0214,"DISCO DE CORTE METALICO INDUSTRIAL 4 1/2""",UND,Inventario
"DISCO DE CORTE METALICO INDUSTRIAL 4.5""",H0215,"DISCO DE CORTE METALICO INDUSTRIAL 4.5""",UND,Inventario
LIJA NUMERO 60 J 83,H0216,LIJA NUMERO 60 J 83,UND,Inventario
"GRILLETE PARA CABLE 5/16""",H0217,"GRILLETE PARA CABLE 5/16""",UND,Inventario
CABLE DE ACERO CON ALMA DE ACERO 3/16,H0218,CABLE DE ACERO CON ALMA DE ACERO 3/16,UND,Inventario
ELECTRODOS 613-1,H0219,ELECTRODOS 613-1,UND,Inventario
MEDIDOR AGUA/FRIA CONTADOR GENEBRE,H0220,MEDIDOR AGUA/FRIA CONTADOR GENEBRE,UND,Inventario
"REDUCCION A/C 2"" X 1""",H0221,"REDUCCION A/C 2"" X 1""",UND,Inventario
"UNION RANURADA FLEXIBLE RECOMB DE 1 1/2""",H0222,"UNION RANURADA FLEXIBLE RECOMB DE 1 1/2""",UND,Inventario
"COLGADOR PERA A/G 1 1/2""",H0223,"COLGADOR PERA A/G 1 1/2""",UND,Inventario
"COLGADOR PERA A/G 2""",H0224,"COLGADOR PERA A/G 2""",UND,Inventario
ALAMBRE DE AMARRE N0. 18 KILO,H0225,ALAMBRE DE AMARRE N0. 18 KILO,UND,Inventario
"CLAVO A/C GALVANIZADO 9X25"" 500G 196 UNIDADES",H0226,"CLAVO A/C GALVANIZADO 9X25"" 500G 196 UNIDADES",UND,Inventario
PINTURA SPRAY AMARILLA,H0227,PINTURA SPRAY AMARILLA,UND,Inventario
"REDUCCION RANURADA DE 2X1 1/2""",H0228,"REDUCCION RANURADA DE 2X1 1/2""",UND,Inventario
TUBO TF PP3 50 MMX6M,H0229,TUBO TF PP3 50 MMX6M,UND,Inventario
"BUJE TF 50X32""",H0230,"BUJE TF 50X32""",UND,Inventario
"ARANDELA PLNANA DE ACERO DE 1/2""",H0231,"ARANDELA PLNANA DE ACERO DE 1/2""",UND,Inventario
BROCA DE COBALTO 3/16,H0232,BROCA DE COBALTO 3/16,UND,Inventario
CABO DE MEDIA,H0233,CABO DE MEDIA,UND,Inventario
BROCA DE 9 NIVELES 4 MM,H0234,BROCA DE 9 NIVELES 4 MM,UND,Inventario
"SIERRA COPA 2""",H0235,"SIERRA COPA 2""",UND,Inventario
EJE PARA SIERRA COPA RHUNO,H0236,EJE PARA SIERRA COPA RHUNO,UND,Inventario
TELA LISTADA DE 3.8 METROS,H0237,TELA LISTADA DE 3.8 METROS,UND,Inventario
"NEPLO BRONCE 1-2"" CON CINTURA",H0238,"NEPLO BRONCE 1-2"" CON CINTURA",UND,Inventario
"REGULADOR DE PRIMERA 25 KG 1/2X3/8""",H0239,"REGULADOR DE PRIMERA 25 KG 1/2X3/8""",UND,Inventario
"REDUCCION DE BRONCE DE 1/2X3/8""",H0240,"REDUCCION DE BRONCE DE 1/2X3/8""",UND,Inventario
"BUSHING INOX DE 1X1/2""",H0241,"BUSHING INOX DE 1X1/2""",UND,Inventario
"REDUCTOR RANURAR 2X1/2""",H0242,"REDUCTOR RANURAR 2X1/2""",UND,Inventario
TEE TF 50 MM TIGRE,H0243,TEE TF 50 MM TIGRE,UND,Inventario
"UNION RANURADO 1 1-2""",H0244,"UNION RANURADO 1 1-2""",UND,Inventario
"CODO RANURADO DE 1 1-2""X45""",H0245,"CODO RANURADO DE 1 1-2""X45""",UND,Inventario
TAPA TF H 32 MM TIGRE,H0246,TAPA TF H 32 MM TIGRE,UND,Inventario
VALVULA TF ESFERA 50 MM,H0247,VALVULA TF ESFERA 50 MM,UND,Inventario
VALVULA TF MARIPOSA 25MM,H0248,VALVULA TF MARIPOSA 25MM,UND,Inventario
"CODO ADAPTADOR H DE 32 X 1""",H0249,"CODO ADAPTADOR H DE 32 X 1""",UND,Inventario
"CORTADOR DE TUBO DE 3-42"" INECO",H0250,"CORTADOR DE TUBO DE 3-42"" INECO",UND,Inventario
POLEA SIMPLE CON GANCHO,H0251,POLEA SIMPLE CON GANCHO,UND,Inventario
"UNION HN 1""",H0252,"UNION HN 1""",UND,Inventario
"TUBO AC DE 1/2""X6 MM",H0253,"TUBO AC DE 1/2""X6 MM",UND,Inventario
"TEE MECANICA DE 2 1/2 X 1""",H0254,"TEE MECANICA DE 2 1/2 X 1""",UND,Inventario
TARRAJA DE 1/2X1/2X3/4,H0255,TARRAJA DE 1/2X1/2X3/4,UND,Inventario
"MEDIDOR DE AGUA CALIENTE CHO/MULI/2"" A/C BARMETER CEM",H0256,"MEDIDOR DE AGUA CALIENTE CHO/MULI/2"" A/C BARMETER CEM",UND,Inventario
"MEDIDOR DE AGUA FRIA CH UNICO 1/2""R160 BARM",H0257,"MEDIDOR DE AGUA FRIA CH UNICO 1/2""R160 BARM",UND,Inventario
LIJA DE 80 X 9,H0258,LIJA DE 80 X 9,UND,Inventario
"CINTA MASKING GENERAL 18 MM X 3/4""",H0259,"CINTA MASKING GENERAL 18 MM X 3/4""",UND,Inventario
PLASTICO REPROCES 2 M NEGRO,H0260,PLASTICO REPROCES 2 M NEGRO,UND,Inventario
"TAPON PVC ROSCABLE ROSCABLE 1""",H0261,"TAPON PVC ROSCABLE ROSCABLE 1""",UND,Inventario
"TUBO AC CED 40 2 1/2"" X 6 M",H0262,"TUBO AC CED 40 2 1/2"" X 6 M",UND,Inventario
"ANGULO HN LC 25""X3",H0263,"ANGULO HN LC 25""X3",UND,Inventario
"NEPLO DE 1/2 X 5/16""",H0264,"NEPLO DE 1/2 X 5/16""",UND,Inventario
"BRIDAS 3/8""",H0265,"BRIDAS 3/8""",UND,Inventario
MILKWAUKEE SIERRA,H0266,MILKWAUKEE SIERRA,UND,Inventario
"UNION HG DE 1/2""",H0267,"UNION HG DE 1/2""",UND,Inventario
TEE TF DE 63 MM,H0268,TEE TF DE 63 MM,UND,Inventario
BUJE TF 63X25MM SO,H0269,BUJE TF 63X25MM SO,UND,Inventario
