nombre,codigo,descripcion,tipo_unidad,venta,,,
CINTA AISLANTE,H0058,CINTA AISLANTE,UND,,,,
"CODO A/I ROSCABLE 90X1""",H0059,"CODO A/I ROSCABLE 90X1""",UND,,,,
"TEE A/I ROSC 1""",H0060,"TEE A/I ROSC 1""",UND,,,,
BOQUILLA TF 63 MM TIGRE,H0061,BOQUILLA TF 63 MM TIGRE,UND,,,,
"NEPLO ACERO INOXIDABLE 1"" X 5""",H0062,"NEPLO ACERO INOXIDABLE 1"" X 5""",UND,,,,
"NEPLO ACERO INOXIDABLE 1"" X 8""",H0063,"NEPLO ACERO INOXIDABLE 1"" X 8""",UND,,,,
"NUDO ACERO INOXIDABLE DE 1/2""",H0064,"NUDO ACERO INOXIDABLE DE 1/2""",UND,,,,
"NEPLO ACERO INOXIDABLE DE 1/2"" X 3·",H0065,"NEPLO ACERO INOXIDABLE DE 1/2"" X 3·",UND,,,,
"CODO H/M 150 UL/FM 90X1""",H0066,"CODO H/M 150 UL/FM 90X1""",UND,,,,
TUBO TF PP3 PN 63 MM X 6M TIGRE,H0067,TUBO TF PP3 PN 63 MM X 6M TIGRE,UND,,,,
TEE TF RED CENT 63X20MM SO,H0068,TEE TF RED CENT 63X20MM SO,UND,,,,
CODO TF 45 ANGULO 63 MM TGR,H0069,CODO TF 45 ANGULO 63 MM TGR,UND,,,,
BUJE TF 63X50MM TGR,H0070,BUJE TF 63X50MM TGR,UND,,,,
BUJE TF 50X32MM TGR,H0071,BUJE TF 50X32MM TGR,UND,,,,
PEGATANQUE NEGRO,H0072,PEGATANQUE NEGRO,UND,,,,
ACOPLE MACHO PARA MANGUERA,H0073,ACOPLE MACHO PARA MANGUERA,UND,,,,
CONECTOR RAPID HEMBRA PARA MANGUERA DE RIEGO,H0074,CONECTOR RAPID HEMBRA PARA MANGUERA DE RIEGO,UND,,,,
"BUJE TF 32X25"" TIGRE",H0075,"BUJE TF 32X25"" TIGRE",UND,,,,
CODO DENTADO FLEX 16 MM,H0076,CODO DENTADO FLEX 16 MM,UND,,,,
"ADAPTADOR COMP 16 X 1/2""",H0077,"ADAPTADOR COMP 16 X 1/2""",UND,,,,
"TEE PVC CED 40 E/C 1/2"" PEGA/ROSC TGR",H0078,"TEE PVC CED 40 E/C 1/2"" PEGA/ROSC TGR",UND,,,,
UNION DENTADA FLEX 16 MM,H0079,UNION DENTADA FLEX 16 MM,UND,,,,
