nombre,codigo,descripcion,tipo_unidad,venta,,,
"CODO RANURADO DE 1 1-2""X45""",H0245,"CODO RANURADO DE 1 1-2""X45""",UND,,,,
TAPA TF H 32 MM TIGRE,H0246,TAPA TF H 32 MM TIGRE,UND,,,,
VALVULA TF ESFERA 50 MM,H0247,VALVULA TF ESFERA 50 MM,UND,,,,
VALVULA TF MARIPOSA 25MM,H0248,VALVULA TF MARIPOSA 25MM,UND,,,,
"CODO ADAPTADOR H DE 32 X 1""",H0249,"CODO ADAPTADOR H DE 32 X 1""",UND,,,,
"CORTADOR DE TUBO DE 3-42"" INECO",H0250,"CORTADOR DE TUBO DE 3-42"" INECO",UND,,,,
POLEA SIMPLE CON GANCHO,H0251,POLEA SIMPLE CON GANCHO,UND,,,,
"UNION HN 1""",H0252,"UNION HN 1""",UND,,,,
"TUBO AC DE 1/2""X6 MM",H0253,"TUBO AC DE 1/2""X6 MM",UND,,,,
"TEE MECANICA DE 2 1/2 X 1""",H0254,"TEE MECANICA DE 2 1/2 X 1""",UND,,,,
TARRAJA DE 1/2X1/2X3/4,H0255,TARRAJA DE 1/2X1/2X3/4,UND,,,,
"MEDIDOR DE AGUA CALIENTE CHO/MULI/2"" A/C BARMETER CEM",H0256,"MEDIDOR DE AGUA CALIENTE CHO/MULI/2"" A/C BARMETER CEM",UND,,,,
"MEDIDOR DE AGUA FRIA CH UNICO 1/2""R160 BARM",H0257,"MEDIDOR DE AGUA FRIA CH UNICO 1/2""R160 BARM",UND,,,,
LIJA DE 80 X 9,H0258,LIJA DE 80 X 9,UND,,,,
"CINTA MASKING GENERAL 18 MM X 3/4""",H0259,"CINTA MASKING GENERAL 18 MM X 3/4""",UND,,,,
PLASTICO REPROCES 2 M NEGRO,H0260,PLASTICO REPROCES 2 M NEGRO,UND,,,,
"TAPON PVC ROSCABLE ROSCABLE 1""",H0261,"TAPON PVC ROSCABLE ROSCABLE 1""",UND,,,,
"TUBO AC CED 40 2 1/2"" X 6 M",H0262,"TUBO AC CED 40 2 1/2"" X 6 M",UND,,,,
"ANGULO HN LC 25""X3",H0263,"ANGULO HN LC 25""X3",UND,,,,
"NEPLO DE 1/2 X 5/16""",H0264,"NEPLO DE 1/2 X 5/16""",UND,,,,
"BRIDAS 3/8""",H0265,"BRIDAS 3/8""",UND,,,,
MILKWAUKEE SIERRA,H0266,MILKWAUKEE SIERRA,UND,,,,
"UNION HG DE 1/2""",H0267,"UNION HG DE 1/2""",UND,,,,
TEE TF DE 63 MM,H0268,TEE TF DE 63 MM,UND,,,,
BUJE TF 63X25MM SO,H0269,BUJE TF 63X25MM SO,UND,,,,
CODO PEGABLE DE 63X90 TIGRE ,H0270,CODO PEGABLE DE 63X90 TIGRE ,UND,,,,
CODO PEGABLE DE 63X90 PLASTIGAMA ,H0271,CODO PEGABLE DE 63X90 PLASTIGAMA ,UND,,,,
"UNION H/N RANURADA FLEXIBLE 2 1/2""",H0272,"UNION H/N RANURADA FLEXIBLE 2 1/2""",UND,,,,
CODO 90 X 50 MM PEGABLE PLASTIGAMA,H0273,CODO 90 X 50 MM PEGABLE PLASTIGAMA,UND,,,,
"UNION A/I ROSCABLE DE 1/2""",H0274,"UNION A/I ROSCABLE DE 1/2""",UND,,,,
UNION TF DOBLE DIAM 20 MM TIGRE,H0275,UNION TF DOBLE DIAM 20 MM TIGRE,UND,,,,
ARNES SEGURIDAD VERDE,H0276,ARNES SEGURIDAD VERDE,UND,,,,
PINTURA ROJO VIVO 3.75 LTS,H0277,PINTURA ROJO VIVO 3.75 LTS,UND,,,,
MANOMETRO KL 1.6,H0278,MANOMETRO KL 1.6,UND,,,,
"NUDO H/N UL/FM 3""",H0279,"NUDO H/N UL/FM 3""",UND,,,,
"NUDO H/N UL/FM 1""",H0280,"NUDO H/N UL/FM 1""",UND,,,,
"BUSHING HN ULFM 1 1/2 X 1""",H0281,"BUSHING HN ULFM 1 1/2 X 1""",UND,,,,
"TEE HN 150 ULKFM 2 1/2""",H0282,"TEE HN 150 ULKFM 2 1/2""",UND,,,,
"REDUCCION AC CED 40 2 1/2 X 1 """,H0283,"REDUCCION AC CED 40 2 1/2 X 1 """,UND,,,,
"CODO HN 150 ULFM 45X2""",H0284,"CODO HN 150 ULFM 45X2""",UND,,,,
ANILLO DE CERA 1319 EDESA,H0285,ANILLO DE CERA 1319 EDESA,UND,,,,
ESTILETE 18 MM PLASTICO,H0286,ESTILETE 18 MM PLASTICO,UND,,,,
"ESPATULA 3"" SILK MANGO",H0287,"ESPATULA 3"" SILK MANGO",UND,,,,
"GRILLETE PARA CABLE 1/4""",H0288,"GRILLETE PARA CABLE 1/4""",UND,,,,
SPRINKLER PENDIENTE 1/2 CROMADO,H0289,SPRINKLER PENDIENTE 1/2 CROMADO,UND,,,,
COBERTOR SPRINKLER 1/2 CROMADO,H0290,COBERTOR SPRINKLER 1/2 CROMADO,UND,,,,
"VALVULA DE BOLA STAND VIENNA 1/2"" ROJA",H0291,"VALVULA DE BOLA STAND VIENNA 1/2"" ROJA",UND,,,,
"TEE ROSCABLE DE 1/2"" PLASTIGAMA",H0292,"TEE ROSCABLE DE 1/2"" PLASTIGAMA",UND,,,,
"CODO HN RANURADO FLEXIBLE 90X2 1/2""",H0293,"CODO HN RANURADO FLEXIBLE 90X2 1/2""",UND,,,,
"CODO HN RANURA FLEXIBLE ULFM 45 X 2 1/2""",H0294,"CODO HN RANURA FLEXIBLE ULFM 45 X 2 1/2""",UND,,,,
"CODO AC 90 X2 1/2""",H0295,"CODO AC 90 X2 1/2""",UND,,,,
REDUCCION HN DE 2 1/2 X 2,H0296,REDUCCION HN DE 2 1/2 X 2,UND,,,,
VALVULA RED PRES MINIPRES ITAP 361,H0297,VALVULA RED PRES MINIPRES ITAP 361,UND,,,,
"BUSHING AI 1X1/2""",H0298,"BUSHING AI 1X1/2""",UND,,,,
REGULADOR DE PRIMERA 8KG RECA+ MANOMETRO,H0299,REGULADOR DE PRIMERA 8KG RECA+ MANOMETRO,UND,,,,
"TUERCA LOCA DE 1/2 X 5/16"" (H IZQ PITON CENTRALINA)",H0300,"TUERCA LOCA DE 1/2 X 5/16"" (H IZQ PITON CENTRALINA)",UND,,,,
FERRULATOJN 5/16 CASQUILLO,H0301,FERRULATOJN 5/16 CASQUILLO,UND,,,,
MANGUERA REFORZADA 5/16 X METRO ALFFLEX,H0302,MANGUERA REFORZADA 5/16 X METRO ALFFLEX,UND,,,,
"BOQUILLA BRONCE 1/2 X 5/16"" M-PITON PANAMA PEX",H0303,"BOQUILLA BRONCE 1/2 X 5/16"" M-PITON PANAMA PEX",UND,,,,
"REDUCCION  BRONCE DE 1/2 X1/4""",H0304,"REDUCCION  BRONCE DE 1/2 X1/4""",UND,,,,
ARANDELA PLANA DE ACERO,H0305,ARANDELA PLANA DE ACERO,UND,,,,
GRAPA TUBERIA 1/2 INDUMA,H0306,GRAPA TUBERIA 1/2 INDUMA,UND,,,,
"BROCA PLUS HAMMER 1/4"" BPH",H0307,"BROCA PLUS HAMMER 1/4"" BPH",UND,,,,
"UNION H/N ULFM 1 1/4""",H0308,"UNION H/N ULFM 1 1/4""",UND,,,,
"BUSHING HN 1/2 X 1/4""",H0309,"BUSHING HN 1/2 X 1/4""",UND,,,,
"TEE HN 150 ULFM 1/2""",H0310,"TEE HN 150 ULFM 1/2""",UND,,,,
"CODO AC CD 40 90X1""",H0311,"CODO AC CD 40 90X1""",UND,,,,
"VALVULA ESFERA AC NIBCO 1""",H0312,"VALVULA ESFERA AC NIBCO 1""",UND,,,,
"NEPLO AC CED 40 1"" X 3""",H0313,"NEPLO AC CED 40 1"" X 3""",UND,,,,
"REDUCCION AC CED 40 1 1/4X 1""",H0314,"REDUCCION AC CED 40 1 1/4X 1""",UND,,,,
"REDUCCION HN RANURADO ULFM 2 1/2X 2""",H0315,"REDUCCION HN RANURADO ULFM 2 1/2X 2""",UND,,,,
"TEE MECANICA ROSCABLE  ULFM DE 2"" X 1  1/2""",H0316,"TEE MECANICA ROSCABLE  ULFM DE 2"" X 1  1/2""",UND,,,,
"REDUCTOR AC CED40 2 X 1 1/2""",H0317,"REDUCTOR AC CED40 2 X 1 1/2""",UND,,,,
MANOMETRO VERTICAL 1/4 0-400 GENEBRE,H0318,MANOMETRO VERTICAL 1/4 0-400 GENEBRE,UND,,,,
LIJA 120,H0319,LIJA 120,UND,,,,
GUANTE DE LATEX LISO MEDIUM,H0320,GUANTE DE LATEX LISO MEDIUM,UND,,,,
ELECTRODO 6011,H0321,ELECTRODO 6011,UND,,,,
"BROCA MAX HAMMER 3/4""",H0322,"BROCA MAX HAMMER 3/4""",UND,,,,
TUBO DE ABASTO CALEFON 1/2 COFLEX,H0323,TUBO DE ABASTO CALEFON 1/2 COFLEX,UND,,,,
CALEFON INSTAMATIC 26 LITROS,H0324,CALEFON INSTAMATIC 26 LITROS,UND,,,,
RIEL CHANEL 3 METROS 41X21X1 5 MM DE ESPESOR,H0325,RIEL CHANEL 3 METROS 41X21X1 5 MM DE ESPESOR,UND,,,,
REDUCCION BRONCE DE 1/2 X 3/8,H0326,REDUCCION BRONCE DE 1/2 X 3/8,UND,,,,
TAPON INOX 1/2 M,H0327,TAPON INOX 1/2 M,UND,,,,
NEPLO BRONCE 1/4 CON CINTURA,H0328,NEPLO BRONCE 1/4 CON CINTURA,UND,,,,
"PLACA DECORATIVA GRIS 1/2""",H0329,"PLACA DECORATIVA GRIS 1/2""",UND,,,,
"ROCIADOR AUT. COLGANTE 1/2"" GRIS",H0330,"ROCIADOR AUT. COLGANTE 1/2"" GRIS",UND,,,,
"TEE TF H  ROSCABLE 25X1/2""",H0331,"TEE TF H  ROSCABLE 25X1/2""",UND,,,,
BROCA ESCALONADA 9 NIVELES 4 MM,H0332,BROCA ESCALONADA 9 NIVELES 4 MM,UND,,,,
KILO DE CLAVOS DE CONGRETO NEGRO,H0333,KILO DE CLAVOS DE CONGRETO NEGRO,UND,,,,
"CODO AC PS CED 40 90X  1/2""",H0334,"CODO AC PS CED 40 90X  1/2""",UND,,,,
NEPLO AC CED 40 1  1/2 X 8,H0335,NEPLO AC CED 40 1  1/2 X 8,UND,,,,
TEE MECANICA ROSCABLE 2 1/2 X 1,H0336,TEE MECANICA ROSCABLE 2 1/2 X 1,UND,,,,
REDUCCION HN RANURADO DE 2 1/2X 1 1/2,H0337,REDUCCION HN RANURADO DE 2 1/2X 1 1/2,UND,,,,
"PLATINA HN 1""X1-8""",H0338,"PLATINA HN 1""X1-8""",UND,,,,
NEPLO AI ROSCABLE 1X4,H0339,NEPLO AI ROSCABLE 1X4,UND,,,,
DISCO DIAMANTE 4.1/2 CENTURY SEGMENTADO 115MM,H0340,DISCO DIAMANTE 4.1/2 CENTURY SEGMENTADO 115MM,UND,,,,
"GRAPA TUBO CONDUCTOR 1""",H0341,"GRAPA TUBO CONDUCTOR 1""",UND,,,,
GRIFERIA MONODUCHA ARIZONA FV E108/B1,H0342,GRIFERIA MONODUCHA ARIZONA FV E108/B1,UND,,,,
CODO PVC 110MM X 45 DESAGUE RIVAL,H0343,CODO PVC 110MM X 45 DESAGUE RIVAL,UND,,,,
TUBO PVC DESAGUE 110 MM X 3 M TIGRE,H0344,TUBO PVC DESAGUE 110 MM X 3 M TIGRE,UND,,,,
CODO PVC 50MM X 45 DESAGUE,H0345,CODO PVC 50MM X 45 DESAGUE,UND,,,,
CODO PVC 75MM X 90 DESAGUE,H0346,CODO PVC 75MM X 90 DESAGUE,UND,,,,
CODO PVC 75MM X 45 DESAGUE,H0347,CODO PVC 75MM X 45 DESAGUE,UND,,,,
YEE PVC 110MM DESAGUE RIVAL,H0348,YEE PVC 110MM DESAGUE RIVAL,UND,,,,
TUBO PVC DESAGUE 50 MM X 3 M RIVAL,H0349,TUBO PVC DESAGUE 50 MM X 3 M RIVAL,UND,,,,
"PEGA WELD ON 602 1/4"" GALON TGR",H0350,"PEGA WELD ON 602 1/4"" GALON TGR",UND,,,,
YEE PVC 110MM X 50 DESAGUE TGR,H0351,YEE PVC 110MM X 50 DESAGUE TGR,UND,,,,
TUBO PVC DESAGUE 75 MM X 3 M,H0352,TUBO PVC DESAGUE 75 MM X 3 M,UND,,,,
HIDROJET 1 1/2 X 1 1/2  COMPLETA LASWM,H0353,HIDROJET 1 1/2 X 1 1/2  COMPLETA LASWM,UND,,,,
LAMPARA PLANO LED 18 W MULTICOLOR ACUACORAL,H0354,LAMPARA PLANO LED 18 W MULTICOLOR ACUACORAL,UND,,,,
TRANSFORMADOR DC 12V 60W ACUACORAL,H0355,TRANSFORMADOR DC 12V 60W ACUACORAL,UND,,,,
VAPOR CON TEMPORIZADOR 9KW 220V TM60A,H0356,VAPOR CON TEMPORIZADOR 9KW 220V TM60A,UND,,,,
"TUBO PVC 1 1/2"" X METROS CED 40",H0357,"TUBO PVC 1 1/2"" X METROS CED 40",UND,,,,
CODO PVC  PRESION 90X40 MM,H0358,CODO PVC  PRESION 90X40 MM,UND,,,,
"TEE PVC 40 EC 1 1/2"" TGR",H0359,"TEE PVC 40 EC 1 1/2"" TGR",UND,,,,
"CODO PVC 90 1 1/2"" CED 40 TGR",H0360,"CODO PVC 90 1 1/2"" CED 40 TGR",UND,,,,
"CODO PVC 45 1 1/2"" CED 40 TGR",H0361,"CODO PVC 45 1 1/2"" CED 40 TGR",UND,,,,
"UNION   PVC 1 1/2"" CED 40 TGR",H0362,"UNION   PVC 1 1/2"" CED 40 TGR",UND,,,,
"TAPON PVC MACHO ROSCABLE 1 1/2"" CED 40 TGR",H0363,"TAPON PVC MACHO ROSCABLE 1 1/2"" CED 40 TGR",UND,,,,
PEGA WELD-ON 713 1/8 GALON,H0364,PEGA WELD-ON 713 1/8 GALON,UND,,,,
TUBO PVC 40 MM X 1.25 MPA X 6 M,H0365,TUBO PVC 40 MM X 1.25 MPA X 6 M,UND,,,,
REDUCTOR PVC EXC DESAGUE 110X50 MM RIVAL,H0366,REDUCTOR PVC EXC DESAGUE 110X50 MM RIVAL,UND,,,,
YEE PVC RED 160X110 MM TGF,H0367,YEE PVC RED 160X110 MM TGF,UND,,,,
REDUCTOR PVC EXC DESAGUE 110X75 MM RIVAL,H0368,REDUCTOR PVC EXC DESAGUE 110X75 MM RIVAL,UND,,,,
UNION PVC DESAGUE 160 MM RIVAL,H0369,UNION PVC DESAGUE 160 MM RIVAL,UND,,,,
LIMPIADOR C-65 174 GALON,H0370,LIMPIADOR C-65 174 GALON,UND,,,,
"TAPON PEGABLE 1 1/2"" LASCO",H0371,"TAPON PEGABLE 1 1/2"" LASCO",UND,,,,
CODO PEGABLE DE 1/2X90 LASCO,H0372,CODO PEGABLE DE 1/2X90 LASCO,UND,,,,
"BROCA COBALTO DE 5/16""",H0373,"BROCA COBALTO DE 5/16""",UND,,,,
SILICON TUBO BLANCO ABRO 310  ML,H0374,SILICON TUBO BLANCO ABRO 310  ML,UND,,,,
SILICON TUBO TRANSPARENTE ABRO 310  ML,H0375,SILICON TUBO TRANSPARENTE ABRO 310  ML,UND,,,,
GUAIPE BLANCO 1 LIBRA,H0376,GUAIPE BLANCO 1 LIBRA,UND,,,,
TUBO ROSCABLE PLASTIDOR 1 1-4 X 6 M,H0377,TUBO ROSCABLE PLASTIDOR 1 1-4 X 6 M,UND,,,,
TEE PEGABLE 1 1/4  LASCO,H0378,TEE PEGABLE 1 1/4  LASCO,UND,,,,
CODO PEGABLE 1 1-4 X 90 LASCO,H0379,CODO PEGABLE 1 1-4 X 90 LASCO,UND,,,,
TACO NYLON ESPIRAL P/DRYWALL,H0380,TACO NYLON ESPIRAL P/DRYWALL,UND,,,,
TORNILLO SICON 6X1 PLANCHA,H0381,TORNILLO SICON 6X1 PLANCHA,UND,,,,
BROCA PARA METAL H SSS 4341 4.0M,H0382,BROCA PARA METAL H SSS 4341 4.0M,UND,,,,
BROCA PARA METAL H SSS 4341 7.5 M,H0383,BROCA PARA METAL H SSS 4341 7.5 M,UND,,,,
BROCA PARA METAL H SSS 4341 7.0 M,H0384,BROCA PARA METAL H SSS 4341 7.0 M,UND,,,,
BROCA PARA METAL H SSS 4341 6.0 M,H0385,BROCA PARA METAL H SSS 4341 6.0 M,UND,,,,
VALVULA GAS INDUSTRIAL CON REGULADOR,H0386,VALVULA GAS INDUSTRIAL CON REGULADOR,UND,,,,
VALVULA GAS DOMESTICA PLATEADA,H0387,VALVULA GAS DOMESTICA PLATEADA,UND,,,,
"DISCO CORTE METAL INSDUTRIAL 14""",H0388,"DISCO CORTE METAL INSDUTRIAL 14""",UND,,,,
"TEFLON REFORZADO DE 3/4""",H0389,"TEFLON REFORZADO DE 3/4""",UND,,,,
TUBO PVC DESAGUE 160 MM RIVAL X 3 METROS,H0390,TUBO PVC DESAGUE 160 MM RIVAL X 3 METROS,UND,,,,
BUSHING DESAGUE 160X110M ,H0391,BUSHING DESAGUE 160X110M ,UND,,,,
UNION PVC DESAGUE 110MM RIVAL,H0392,UNION PVC DESAGUE 110MM RIVAL,UND,,,,
"PEGA WELD 705 1/4"" GALON",H0393,"PEGA WELD 705 1/4"" GALON",UND,,,,
ADAPTADOR LIMPIEZA DESAGUE 11O M,H0394,ADAPTADOR LIMPIEZA DESAGUE 11O M,UND,,,,
"TEE MECANICA ROSCABLE RECOM 2 1/2X 1 X1/4""",H0395,"TEE MECANICA ROSCABLE RECOM 2 1/2X 1 X1/4""",UND,,,,
TAPA TF 50 MM TIGRE,H0396,TAPA TF 50 MM TIGRE,UND,,,,
CODO TF 45 50 MM,H0397,CODO TF 45 50 MM,UND,,,,
TUBO PVC DESAGUE 200 MM X 6 M,H0398,TUBO PVC DESAGUE 200 MM X 6 M,UND,,,,
CODO PVC 45 DESAGUE 200 MM RIVAL,H0399,CODO PVC 45 DESAGUE 200 MM RIVAL,UND,,,,
YEE PVC RED DESAGUE 200 X 160 MM,H0400,YEE PVC RED DESAGUE 200 X 160 MM,UND,,,,
SIFON ACORDEON METALIZADO,H0401,SIFON ACORDEON METALIZADO,UND,,,,
CODO 1 1/4 X 45 LASCO,H0402,CODO 1 1/4 X 45 LASCO,UND,,,,
ARANDELA PLANA DE ACERO 3/4 PL,H0403,ARANDELA PLANA DE ACERO 3/4 PL,UND,,,,
TORNILLO PUNTA BROCA C,H0404,TORNILLO PUNTA BROCA C,UND,,,,
BUJE TF 50X20 MM,H0405,BUJE TF 50X20 MM,UND,,,,
PLANCHA DE ESPUMA FLEX N0.2,H0406,PLANCHA DE ESPUMA FLEX N0.2,UND,,,,
"CODO HN RANURADO ULFM 90X1 1/2""",H0407,"CODO HN RANURADO ULFM 90X1 1/2""",UND,,,,
"CODO HN RANURADO ULFM 45X1 1/2""",H0408,"CODO HN RANURADO ULFM 45X1 1/2""",UND,,,,
"NEPLO ROSCADO PP DE 1/2""",H0409,"NEPLO ROSCADO PP DE 1/2""",UND,,,,
"VALVULA ESFERA BR. NIBCO 400 T580 P/C 1""",H0410,"VALVULA ESFERA BR. NIBCO 400 T580 P/C 1""",UND,,,,
"NUDO AI ROSCABLE DE 1""",H0411,"NUDO AI ROSCABLE DE 1""",UND,,,,
TEE TF RED CENTRIFUGA 50X25 MM V,H0412,TEE TF RED CENTRIFUGA 50X25 MM V,UND,,,,
ADAPTADOR TF H 25X3/4 TGR,H0413,ADAPTADOR TF H 25X3/4 TGR,UND,,,,
"VALVULA CHEQUE YORK 103 BE 1 1/2""",H0414,"VALVULA CHEQUE YORK 103 BE 1 1/2""",UND,,,,
ADAPTADOR TF M 50 X 1X 1/2 TIGRE,H0415,ADAPTADOR TF M 50 X 1X 1/2 TIGRE,UND,,,,
"VALVULA BOLA STAND VIENE 216 1""",H0416,"VALVULA BOLA STAND VIENE 216 1""",UND,,,,
"LLAVE ESFERICA DE 1/2"" MANIL MARIPOSA",H0417,"LLAVE ESFERICA DE 1/2"" MANIL MARIPOSA",UND,,,,
TANQUE HIDRONEUMATICO 80 LITROS VERT,H0418,TANQUE HIDRONEUMATICO 80 LITROS VERT,UND,,,,
NEPLO INOX C40 1X3,H0419,NEPLO INOX C40 1X3,UND,,,,
"ADAPTADOR PVC M CED40  PEGA/ROSC 1"" TGR",H0420,"ADAPTADOR PVC M CED40  PEGA/ROSC 1"" TGR",UND,,,,
"TEE PVC CED40 E/C 1""",H0421,"TEE PVC CED40 E/C 1""",UND,,,,
"RED PVC CED 40 1 1/2X1"" DURA1",H0422,"RED PVC CED 40 1 1/2X1"" DURA1",UND,,,,
"CODO PVC 90 1/2"" CED 40 DURA",H0423,"CODO PVC 90 1/2"" CED 40 DURA",UND,,,,
"ADAPTADOR PVC M CED40 PEGRABLE ROSCABLE 1/2""",H0424,"ADAPTADOR PVC M CED40 PEGRABLE ROSCABLE 1/2""",UND,,,,
"VALVULA COMP BR PN 1""",H0425,"VALVULA COMP BR PN 1""",UND,,,,
"TUBO PVC 1 ROSCABLE 1"" 80X6 MM",H0426,"TUBO PVC 1 ROSCABLE 1"" 80X6 MM",UND,,,,
"UNIVERSAL PVC P 1"" DURA",H0427,"UNIVERSAL PVC P 1"" DURA",UND,,,,
JUEGO DE HERRAJE EDESA,H0428,JUEGO DE HERRAJE EDESA,UND,,,,
"TAPA PVC HEMBRA ROSCABLE 1 1/2""",H0429,"TAPA PVC HEMBRA ROSCABLE 1 1/2""",UND,,,,
TEE TF RED CENT 50X32X50MM,H0430,TEE TF RED CENT 50X32X50MM,UND,,,,
ADAPTADOR TF H 32 MMX3/4 TG,H0431,ADAPTADOR TF H 32 MMX3/4 TG,UND,,,,
"VALVULA CHECK VERTICAL DE 1 1/2"" PEDROL",H0432,"VALVULA CHECK VERTICAL DE 1 1/2"" PEDROL",UND,,,,
"NUDO INOX 3/4""",H0433,"NUDO INOX 3/4""",UND,,,,
VALVULA ESFERA AGUA 3/4 PALAN FV LIVIA E,H0434,VALVULA ESFERA AGUA 3/4 PALAN FV LIVIA E,UND,,,,
UNION PVC DESAGUE 200 MM,H0435,UNION PVC DESAGUE 200 MM,UND,,,,
POLILIMPIA 1 LITRO,H0436,POLILIMPIA 1 LITRO,UND,,,,
VALVULA CHECK VERTICAL 1 EUROPA 100,H0437,VALVULA CHECK VERTICAL 1 EUROPA 100,UND,,,,
"VALVULA ESFERA AGUA 1"" PALAN H-H GENEBRE 400WO",H0438,"VALVULA ESFERA AGUA 1"" PALAN H-H GENEBRE 400WO",UND,,,,
"NUDO UNIVERSAL INOX 1""",H0439,"NUDO UNIVERSAL INOX 1""",UND,,,,
RADAR AUTOMATICO GENEBRE 300 CM,H0440,RADAR AUTOMATICO GENEBRE 300 CM,UND,,,,
PRESOSTATO BOMBA 30-50 CENTRIPRO AS 4IFX,H0441,PRESOSTATO BOMBA 30-50 CENTRIPRO AS 4IFX,UND,,,,
MANOMETRO VERTICAL 1/4 150 GENEBRE,H0442,MANOMETRO VERTICAL 1/4 150 GENEBRE,UND,,,,
TEE PEGABLE 1/2 LASCO,H0443,TEE PEGABLE 1/2 LASCO,UND,,,,
ADAPTADOR PEGABLE DE 1/2 H,H0444,ADAPTADOR PEGABLE DE 1/2 H,UND,,,,
VALVULA ESFERA AGUA 1/2 PALAN HH,H0445,VALVULA ESFERA AGUA 1/2 PALAN HH,UND,,,,
BREAKER SWITCH 50A 110 V POW50003,H0446,BREAKER SWITCH 50A 110 V POW50003,UND,,,,
BREAKER SWITCH 50A 110 V POW50003,H0447,BREAKER SWITCH 50A 110 V POW50003,UND,,,,
BUJE PVC 1X 1/2 LASCO,H0448,BUJE PVC 1X 1/2 LASCO,UND,,,,
"ADAPTADOR PVC H CED40 1/2"" DURA",H0449,"ADAPTADOR PVC H CED40 1/2"" DURA",UND,,,,
"CODO PVC 90 1"" CED 40 DAMI",H0450,"CODO PVC 90 1"" CED 40 DAMI",UND,,,,
"TUBO PVC SCH40 1""X6M 450 PSI EXT LIS",H0451,"TUBO PVC SCH40 1""X6M 450 PSI EXT LIS",UND,,,,
OREJERAS ANTIRUIDO CEN ,H0452,OREJERAS ANTIRUIDO CEN ,UND,,,,
CHALECO REFLECTIVO VERDE,H0453,CHALECO REFLECTIVO VERDE,UND,,,,
"CODO DE 1/2"" PLASTIGAMA",H0454,"CODO DE 1/2"" PLASTIGAMA",UND,,,,
TEE 1/2 PLASTIGAMA,H0455,TEE 1/2 PLASTIGAMA,UND,,,,
"LLAVE  DE PASO PALANCA FV DE 1/2""",H0456,"LLAVE  DE PASO PALANCA FV DE 1/2""",UND,,,,
"ADAPTADOR TF M 25 MM X 1/2""",H0457,"ADAPTADOR TF M 25 MM X 1/2""",UND,,,,
TAPON POLIP 3/4 PMEX,H0458,TAPON POLIP 3/4 PMEX,UND,,,,
VALVULA ESFERA AGUA CALIENTE 3/4 ITAP 145 LISTED,H0459,VALVULA ESFERA AGUA CALIENTE 3/4 ITAP 145 LISTED,UND,,,,
PEGAMENTO PVC WELDON 725 115 ML (4 0Z) AZUL,H0460,PEGAMENTO PVC WELDON 725 115 ML (4 0Z) AZUL,UND,,,,
TERMO ANALG 1/2 INFERIOR GENEBRE,H0461,TERMO ANALG 1/2 INFERIOR GENEBRE,UND,,,,
ADAPTADOR H  FUSION VESBO 20X1/2 METAL,H0462,ADAPTADOR H  FUSION VESBO 20X1/2 METAL,UND,,,,
CODO FUSION VESBO 20X90,H0463,CODO FUSION VESBO 20X90,UND,,,,
BOQUILLA TF 50 MM TIGRE,H0464,BOQUILLA TF 50 MM TIGRE,UND,,,,
NUDO FUSION VESBO 25,H0465,NUDO FUSION VESBO 25,UND,,,,
NEPLO INOX 1X6,H0466,NEPLO INOX 1X6,UND,,,,
"ABRAZADERA AZUL 50 X 1 1/2""",H0467,"ABRAZADERA AZUL 50 X 1 1/2""",UND,,,,
CODO INOX 1X90 CACHIMBA,H0468,CODO INOX 1X90 CACHIMBA,UND,,,,
BOQUILLA BRONCE 1/2X3/8 M PITON,H0469,BOQUILLA BRONCE 1/2X3/8 M PITON,UND,,,,
DETECTOR MONOXIDO DE CARBONO 9V,H0470,DETECTOR MONOXIDO DE CARBONO 9V,UND,,,,
TEE INOX DE 1/2,H0471,TEE INOX DE 1/2,UND,,,,
"NEPLO AI 3/4X2""",H0472,"NEPLO AI 3/4X2""",UND,,,,
REDUCTOR AI 3/4 A 1/2 HEMBRA,H0473,REDUCTOR AI 3/4 A 1/2 HEMBRA,UND,,,,
REDUCCION INOX 1X3/4,H0474,REDUCCION INOX 1X3/4,UND,,,,
VALVULA TF ESFERA 32 MM TIGRE,H0475,VALVULA TF ESFERA 32 MM TIGRE,UND,,,,
CABLE GEMELO 2X14,H0476,CABLE GEMELO 2X14,UND,,,,
"DESTORNILLADOR PLANO 1/8X5""",H0477,"DESTORNILLADOR PLANO 1/8X5""",UND,,,,
FIBRA NEOLITE LISO,H0478,FIBRA NEOLITE LISO,UND,,,,
NEPLO INOX 1X3,H0479,NEPLO INOX 1X3,UND,,,,
BUSHING PVC RED DESAGUE 200X160 MM,H0480,BUSHING PVC RED DESAGUE 200X160 MM,UND,,,,
CODO PVC 45 DESAGUE 160 MM TIGRE,H0481,CODO PVC 45 DESAGUE 160 MM TIGRE,UND,,,,
YEE PVC 75MM DESAGUE RIVAL,H0482,YEE PVC 75MM DESAGUE RIVAL,UND,,,,
YEE PVC RED DESAGUE 110X75MM,H0483,YEE PVC RED DESAGUE 110X75MM,UND,,,,
"PLATINA H/N 1/2""X3/16""",H0484,"PLATINA H/N 1/2""X3/16""",UND,,,,
ACEITE PENETRANTE 13.5 ONZ. WD-40,H0485,ACEITE PENETRANTE 13.5 ONZ. WD-40,UND,,,,
GUANTE REV. NITRILO MASTER NEGRO N100,H0486,GUANTE REV. NITRILO MASTER NEGRO N100,UND,,,,
TIJERA PVC TUBO TRUPER GIGANTE,H0487,TIJERA PVC TUBO TRUPER GIGANTE,UND,,,,
