CODIGO,DESCRIPCION," TIPO",CANTIDAD,PRECIO,PRECIO H.,Ubicación,CATEGORIA,PROVEEDOR,TOTAL
82T,ADAPTADOR DE 16 MM,UND,0,,0,,,,0
83T,"NEPLO PP ROSCABLE DE 1-2""",UND,0,,0,,,,0
84T,VALVULA RES PRES MINIPRESS ITAP 36 1 1/2C 15/1,UND,0,,0,,,,0
85T,"BUSHING HN ULFM 1""X1/2""",UND,0,,0,,,,0
86T,TAPON PVC MACHO ROSCABLE 1/2 TGR,UND,0,,0,,,,0
87T,CURVA TF ANGULO 90 20 MM TIGRE,UND,0,,0,,,,0
88T,BOMBA EVANS BRAC 120W RECIRCULACION AUTOMATICA AC,UND,0,,0,,,,0
89T,CODO TF 45 MH 20 MM TGR,UND,0,,0,,,,0
"90T ",TEE TF 32 MM TIGRE,UND,0,"0,81 US$","0,972",,,,0
91T,"ADAPTADOR TF M 32 MM X 1"" TIGRE",UND,0,,0,,,,0
92T,"VALVULA CHEQUE YORK 103 BR 1""",UND,0,,0,,,,0
93T,NEPLO INOX 1 C/CINTURA,UND,0,,0,,,,0
94T,BUSHING INOX DE 1/2X1/4,UND,0,,0,,,,0
95T,MANOMETRO 1/4 VERT 1/4 0-150 GENEBRE +++,UND,0,,0,,,,0
96T,NEPLO INOX 1/2  C/CINT,UND,0,,0,,,,0
97T,TUBO CORRUGADO 160 MM SERIE 6 TIGRE,UND,0,,0,,,,0
98T,"PRESOSTATO BOMBA 70-100  GENEBRE ",UND,0,,0,,,,0
99T,"TEE H-N 150 UL/FM 1 1/2""",UND,0,,0,,,,0
100T,"TUBO A/C CED 40 S/C P/S 4"" X 6 M",UND,0,,0,,,,0
101T,"NEPLO AC C-40 1 1-4"" X 8""",UND,0,,0,,,,0
102T,"TEE A/C P/S C/40 1 1/4""",UND,0,,0,,,,0
"103T ","NEPLO A/C C-40 1""X4""",UND,0,,0,,,,0
"104T ",TEE PEGABLE 25 MM TIGRE GRIS,UND,0,,0,,,,0
105T," TEE PEGABLE 50 MM TIGRE ",UND,0,,0,,,,0
106T,"ADAPTADOR TF M 25 MM X 3/4""",UND,0,,0,,,,0
107T,"ADAPTADOR PVC M CED 40 PEGROSCA / TIGRE 1/2""",UND,0,,0,,,,0
108T,"TEE TF C/ROSC M 25X1/2"" TIGRE",UND,0,,0,,,,0
109T,TEE TF RED CENT 50X20MM SO,UND,0,,0,,,,0
110T,TEE TF RED CENT 32X20X32 MM TIGRE,UND,0,,0,,,,0
111T,CODO DE PEGABLE 90X32 MM TIGRE GRIS,UND,0,,0,,,,0
112T,CODO DE PEGABLE 90X25 MM TIGRE GRIS,UND,0,,0,,,,0
113T,CODO 90 PEGABLE 40 MM TIGRE,UND,0,,0,,,,0
114T,"CODO TF 90 63 MM TIGRE ",UND,0,,0,,,,0
115T,CODO TF 90 50 MM TIGRE,UND,0,,0,,,,0
116T,CODO 45 PEGABLE 63 MM,UND,0,,0,,,,0
117T,UNIVERSAL PEGABLE DIAM 32 MM T1,UND,0,,0,,,,0
118T,UNIVERSAL PVC ROSCABLE 1 1/2 TIGRE,UND,0,,0,,,,0
119T,UNION TF 90 MM TIGRE,UND,0,,0,,,,0
120T,UNION TF 50 MM TIGRE,UND,0,,0,,,,0
121T,UNION TF 63 MM TIGRE,UND,0,,0,,,,0
122T,"UNION PVC ROSCABLE 1"" TIGRE",UND,0,,0,,,,0
123T,ADAPTADOR TF H 90X30MM,UND,0,,0,,,,0
124T,ADAPTADOR TF H 50X1 1/2 TIGRE,UND,0,,0,,,,0
125T,ADAPTADOR TF M 20MMX3,UND,0,,0,,,,0
126T,ADAPTADOR TF M 25MMX3,UND,0,,0,,,,0
127T,BUJE TF 32X20 MM TIGRE,UND,0,,0,,,,0
128T,PRESOSTATO PP5 PENTAX,UND,0,,0,,,,0
129T,"NUDO ACERO INOXIDABLE ROSCABLE DE 1 1/2""",UND,0,,0,,,,0
130T,"TUBO A/C CED 40 S/C P/S 1 "" X 6 M",UND,0,,0,,,,0
131T,"NEPLO ACERO INOXIDABLE CED 40 DE 1/2"" X 4""·",UND,0,,0,,,,0
132T,"NEPLO ACERO INOXIDABLE CED 40 DE 1  1/2"" X 4""·",UND,0,,0,,,,0
133T,"ADAPTADOR PVC M PRESION 32X1""",UND,0,,0,,,,0
134T,"ADAPTADOR PVC M 63 X 2 """"",UND,0,,0,,,,0
135T,"ADAPTADOR PVC H 50X1 1/2 """"",UND,0,,0,,,,0
136T,"ADAPTADOR PVC M 25X3-4"" ",UND,0,,0,,,,0
137T,"ADAPTADOR PVC M 20X1/2"" ",UND,0,,0,,,,0
138T,"BUJE PVC CORTO 50X32"" PLASTIGAMA",UND,0,,0,,,,0
139T,"BUJE PVC CORTO 40X32"" PLASTIGAMA",UND,0,,0,,,,0
140T,"BUJE PVC ROSCABLE 1 1/2 X 3/4""",UND,0,,0,,,,0
141T,"ADAPTADOR PVC H 1X32""",UND,0,,0,,,,0
142T,"BUJE PVC 32X20"" TIGRE",UND,0,,0,,,,0
143T,"NEPLO ROSCABLE 1"" TIGRE",UND,0,,0,,,,0
144T,"UNIVERSAL PVC 1""",UND,0,,0,,,,0
145T,"UNION ROSCABLE 1"" TIGRE",UND,0,,0,,,,0
146T,CODO 45X50MM  PLASTIGAMA,UND,0,,0,,,,0
147T,TEE PVC PRESION 20 MM PLASTIGAMA,UND,0,,0,,,,0
148T,"TEE PVC 1 1/4"" TIGRE",UND,0,,0,,,,0
149T,UNION PRESION 63 MM TIGRE,UND,0,,0,,,,0
150T,UNION PRESION 50 MM TIGRE,UND,0,,0,,,,0
151T,UNION PRESION 32 MM TIGRE,UND,0,,0,,,,0
152T,UNION PRESION 40 MM TIGRE,UND,0,,0,,,,0
153T,UNIVERSAL PVC 1/2 TIGRE,UND,0,,0,,,,0
154T,UNION 20 MM  TIGRE,UND,0,,0,,,,0
155T,"TEE TF C ROSCABLE H 20 X 1/2""",UND,0,,0,,,,0
156T,LIJA UNION 100,UND,0,,0,,,,0
157T,"DISCO CORT/MT DW 4 1/2""",UND,0,,0,,,,0
158T,PINTURA PROFESIONAL BL,UND,0,,0,,,,0
159T,DISOLVENTE PARA PINTURAS,UND,0,,0,,,,0
160T,ELECTRODO INDURA 230-S,UND,0,,0,,,,0
161T,TUBO DE ABASTO 1/2X1/2X40,UND,0,,0,,,,0
162T,MANOMETRO DE AIRE 0-145 PSI 1/4 63 MM,UND,0,,0,,,,0
163T,"VALVULA COMP 127 BR PN 1/2"" ITA",UND,0,,0,,,,0
164T,"TEE PVC CED 40 E/C 1/2"" PEGABLE TGR",UND,0,,0,,,,0
165T,DISCO INGRO MCD,UND,0,,0,,,,0
166T,"UNION H/N REDUCT RECOMB UL/FM 2"" X 1 1/2""",UND,0,,0,,,,0
167T,"TEE H/N RANUR.RECOMB ULK/FM2""",UND,0,,0,,,,0
168T,"REDUCCION  H/N RANUR.RECOMB UL/FM2""X1""",UND,0,,0,,,,0
169T,"CODO  H/N RANUR. UL/FM90X2""",UND,0,,0,,,,0
170T,"UNION  H/N RANUR. FLEXIBLE UL/FM 2""",UND,0,,0,,,,0
171T,"TUBO A/C  CED40 S/C P/S 1 1/2"" X 6 MT",UND,0,,0,,,,0
172T,"CODO H/N RANUR.UL/FM 45X 1 1/2""",UND,0,,0,,,,0
173T,"COLGADOR A/G PERA UL/FM N0.69 1""",UND,0,,0,,,,0
174T,"REDUCCION  H/G CIFUNSA UL/FM 1"" X 1/2""",UND,0,,0,,,,0
175T,"REDUCCION  A/F ROSC 3000 1 1/2""X 1""",UND,0,,0,,,,0
176T,GABINETE H/N SCI 70X22 EMPOTRABLE,UND,0,,0,,,,0
177T,"VALVULA DE 1/2"" MACHO AMARILLA",UND,0,,0,,,,0
178T,NEPLO PP ROSCABLE 1/2X150MM POL,UND,0,,0,,,,0
"179T ",PEGA WELD-0N 602 1/32 TGR,UND,0,,0,,,,0
180T,"UNION TF  32"" TIGRE",UND,0,,0,,,,0
181T,PINTURA TAN ROJO FIESTA LITRO,UND,0,,0,,,,0
182T,PINTURA TAN BLANCO MATE,UND,0,,0,,,,0
183T,"BROCHA FUTURA 2""",UND,0,,0,,,,0
184T,"CEPILLO A/AC.MANGO 5X15X1""",UND,0,,0,,,,0
185T,BUJE TF 32X20MM,UND,0,,0,,,,0
186T,UNIVERSAL TF 20X1/2,UND,0,,0,,,,0
187T,TAPON TF H 20 MM ROSCADO,UND,0,,0,,,,0
188T,CODO ADAPTADORN 90 H 25X1/2,UND,0,,0,,,,0
189T,"ADAPTADOR TF M 32X3/4""",UND,0,,0,,,,0
190T,"TAPON HEMBRA DE 1/2""",UND,0,,0,,,,0
191T,"UNION PVC 2""",UND,0,,0,,,,0
192T,"UNION PVC 1 1/4""",UND,0,,0,,,,0
193T,UNION PVC LASCO ROSCABLE H 1 1/2,UND,0,,0,,,,0
194T,"UNION PVC LASCO ROSCABLE M 1 1/4""",UND,0,,0,,,,0
195T,"UNION PVC TIGRE 1""",UND,0,,0,,,,0
196T,REDUCTOR TIGRE 63X32 PRESION,UND,0,,0,,,,0
197T,"UNION PVC ROSCA 25X3/4""",UND,0,,0,,,,0
198T,"UNION PVC ROSCA H 20X1/2""",UND,0,,0,,,,0
199T,"CODO A/C CED40 X 1 1/4""",UND,0,,0,,,,0
200T,"UNION PVC CED 40 1/2"" TIGRE",UND,0,,0,,,,0
201T,"TUBO A/C CED 40 S/C P/S 2""X6 METROS",UND,0,,0,,,,0
202T,"TEE MECANICA ROSC. RECOMB UL/FM 2""X1 1/4""",UND,0,,0,,,,0
203T,"BUSHING H/N ULF 1 1/4 X 1""",UND,0,,0,,,,0
204T,"NEPLO A/C C/80 1/2""X5""",UND,0,,0,,,,0
205T,"NEPLO A/C C/40 1/2""X8""",UND,0,,0,,,,0
"206T ","UNION H/N UL/FM 1/2""",UND,0,,0,,,,0
207T,"UNION HN RANUR FLEXIBLE 2""",UND,0,,0,,,,0
208T,"CODO PVC 90 CED 40 PEG/ROSC 1/2"" TIGRE",UND,0,,0,,,,0
209T,"TAPON PVC H CED 40 E/C 1/2"" LASCO",UND,0,,0,,,,0
210T,CEPILLO ALEMAN DE ACERO,UND,0,,0,,,,0
211T,"BROCHA 2""",UND,0,,0,,,,0
212T,"BROCHA 3""",UND,0,,0,,,,0
213T,GUANTE CORRUGADO DE LATEX TALLA M,UND,0,,0,,,,0
214T,"DISCO DE CORTE METALICO INDUSTRIAL 4 1/2""",UND,0,,0,,,,0
215T,"DISCO DE CORTE METALICO INDUSTRIAL 4.5""",UND,0,,0,,,,0
216T,LIJA NUMERO 60 J 83,UND,0,,0,,,,0
217T,"GRILLETE PARA CABLE 5/16""",UND,0,,0,,,,0
218T,CABLE DE ACERO CON ALMA DE ACERO 3/16,UND,0,,0,,,,0
219T,ELECTRODOS 613-1,UND,0,,0,,,,0
220T,MEDIDOR AGUA/FRIA CONTADOR GENEBRE,UND,0,,0,,,,0
221T,"REDUCCION A/C 2"" X 1""",UND,0,,0,,,,0
222T,"UNION RANURADA FLEXIBLE RECOMB DE 1 1/2""",UND,0,,0,,,,0
223T,"COLGADOR PERA A/G 1 1/2""",UND,0,,0,,,,0
224T,"COLGADOR PERA A/G 2""",UND,0,,0,,,,0
225T,ALAMBRE DE AMARRE N0. 18 KILO,UND,0,,0,,,,0
226T,"CLAVO A/C GALVANIZADO 9X25"" 500G 196 UNIDADES",UND,0,,0,,,,0
227T,PINTURA SPRAY AMARILLA,UND,0,,0,,,,0
228T,"REDUCCION RANURADA DE 2X1 1/2""",UND,0,,0,,,,0
229T,TUBO TF PP3 50 MMX6M,UND,0,,0,,,,0
230T,"BUJE TF 50X32""",UND,0,,0,,,,0
231T,"ARANDELA PLNANA DE ACERO DE 1/2""",UND,0,,0,,,,0
232T,BROCA DE COBALTO 3/16,UND,0,,0,,,,0
233T,CABO DE MEDIA,UND,0,,0,,,,0
234T,BROCA DE 9 NIVELES 4 MM,UND,0,,0,,,,0
235T,"SIERRA COPA 2""",UND,0,,0,,,,0
236T,EJE PARA SIERRA COPA RHUNO,UND,0,,0,,,,0
237T,TELA LISTADA DE 3.8 METROS,UND,0,,0,,,,0
238T,"NEPLO BRONCE 1-2"" CON CINTURA",UND,0,,0,,,,0
239T,"REGULADOR DE PRIMERA 25 KG 1/2X3/8""",UND,0,,0,,,,0
240T,"REDUCCION DE BRONCE DE 1/2X3/8""",UND,0,,0,,,,0
241T,"BUSHING INOX DE 1X1/2""",UND,0,,0,,,,0
242T,"REDUCTOR RANURAR 2X1/2""",UND,0,,0,,,,0
243T,TEE TF 50 MM TIGRE,UND,0,,0,,,,0
244T,"UNION RANURADO 1 1-2""",UND,0,,0,,,,0
245T,"CODO RANURADO DE 1 1-2""X45""",UND,0,,0,,,,0
246T,TAPA TF H 32 MM TIGRE,UND,0,,0,,,,0
247T,VALVULA TF ESFERA 50 MM,UND,0,,0,,,,0
248T,VALVULA TF MARIPOSA 25MM,UND,0,,0,,,,0
249T,"CODO ADAPTADOR H DE 32 X 1""",UND,0,,0,,,,0
"250T ","CORTADOR DE TUBO DE 3-42"" INECO",UND,0,,0,,,,0
251T,POLEA SIMPLE CON GANCHO,UND,0,,0,,,,0
252T,"UNION HN 1""",UND,0,,0,,,,0
253T,"TUBO AC DE 1/2""X6 MM",UND,0,,0,,,,0
254T,"TEE MECANICA DE 2 1/2 X 1""",UND,0,,0,,,,0
255T,TARRAJA DE 1/2X1/2X3/4,UND,0,,0,,,,0
256T,"MEDIDOR DE AGUA CALIENTE CHO/MULI/2"" A/C BARMETER CEM",UND,4,"41,39 US$","49,668",,,,"198,672"
257T,"MEDIDOR DE AGUA FRIA CH UNICO 1/2""R160 BARM",UND,0,,0,,,,0
258T,LIJA DE 80 X 9,UND,0,,0,,,,0
"259T ","CINTA MASKING GENERAL 18 MM X 3/4""",UND,0,,0,,,,0
260T,PLASTICO REPROCES 2 M NEGRO,UND,0,,0,,,,0
261T,"TAPON PVC ROSCABLE ROSCABLE 1""",UND,0,,0,,,,0
262T,"TUBO AC CED 40 2 1/2"" X 6 M",UND,0,,0,,,,0
263T,"ANGULO HN LC 25""X3",UND,0,,0,,,,0
264T,"NEPLO DE 1/2 X 5/16""",UND,0,,0,,,,0
265T,"BRIDAS 3/8""",UND,0,,0,,,,0
266T,MILKWAUKEE SIERRA,UND,0,,0,,,,0
267T,"UNION HG DE 1/2""",UND,0,,0,,,,0
268T,TEE TF DE 63 MM,UND,0,,0,,,,0
269T,BUJE TF 63X25MM SO,UND,0,,0,,,,0
270T,"CODO PEGABLE DE 63X90 TIGRE ",UND,0,,0,,,,0
271T,"CODO PEGABLE DE 63X90 PLASTIGAMA ",UND,0,,0,,,,0
272T,"UNION H/N RANURADA FLEXIBLE 2 1/2""",UND,0,,0,,,,0
273T,CODO 90 X 50 MM PEGABLE PLASTIGAMA,UND,0,,0,,,,0
274T,"UNION A/I ROSCABLE DE 1/2""",UND,0,,0,,,,0
275T,UNION TF DOBLE DIAM 20 MM TIGRE,UND,0,,0,,,,0
276T,ARNES SEGURIDAD VERDE,UND,0,,0,,,,0
277T,PINTURA ROJO VIVO 3.75 LTS,UND,0,,0,,,,0
278T,MANOMETRO KL 1.6,UND,0,,0,,,,0
279T,"NUDO H/N UL/FM 3""",UND,0,,0,,,,0
280T,"NUDO H/N UL/FM 1""",UND,0,,0,,,,0
281T,"BUSHING HN ULFM 1 1/2 X 1""",UND,0,,0,,,,0
282T,"TEE HN 150 ULKFM 2 1/2""",UND,0,,0,,,,0
